Ship Mode,Segment,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority,Ship Time
1,Corporate,West,Technology,Copiers,2399.96,5,0.2,839.9860000000001,630.05,1,0
0,Corporate,North Asia,Furniture,Bookcases,2197.5,5,0.0,153.75,627.27,0,3
1,Corporate,Africa,Technology,Phones,2582.16,4,0.0,593.88,627.17,1,0
0,Consumer,Central Asia,Technology,Copiers,1526.52,4,0.0,732.72,625.77,0,1
0,Corporate,West,Technology,Copiers,3149.9300000000003,7,0.0,1480.4670999999998,617.92,1,1
2,Corporate,Central Asia,Furniture,Tables,1745.34,2,0.0,226.86,616.27,0,3
0,Consumer,Oceania,Office Supplies,Appliances,4191.507,9,0.1,1164.2669999999998,614.34,1,1
2,Consumer,South,Technology,Phones,4367.896000000001,13,0.2,327.59220000000005,609.44,3,3
2,Consumer,Central Asia,Furniture,Bookcases,3063.27,7,0.0,581.91,609.24,1,2
1,Corporate,East,Technology,Machines,4643.8,4,0.0,2229.024,607.34,3,0
2,Corporate,Central,Technology,Phones,4473.000000000001,7,0.0,313.11,604.4,3,5
0,Corporate,Central,Technology,Phones,1502.0100000000002,9,0.0,225.18,600.21,0,3
3,Consumer,North Asia,Furniture,Chairs,5048.999999999999,11,0.0,656.37,595.5,1,5
2,Corporate,South,Office Supplies,Appliances,2104.55,7,0.0,694.5014999999999,594.02,0,2
0,Consumer,South,Furniture,Bookcases,2188.05,5,0.0,1050.15,593.91,1,1
0,Corporate,Central Asia,Furniture,Tables,1920.36,4,0.0,652.92,592.77,0,3
1,Home Office,North,Technology,Phones,1704.0000000000005,4,0.0,119.28,592.726,0,0
0,Home Office,EMEA,Furniture,Tables,1858.6800000000003,4,0.0,130.07999999999998,590.56,0,2
0,Corporate,North Asia,Furniture,Chairs,3298.26,7,0.0,1055.25,589.36,1,2
0,Consumer,Central,Office Supplies,Appliances,2443.48,13,0.0,121.94,589.293,3,1
2,Consumer,Africa,Furniture,Chairs,3808.8,8,0.0,1523.52,588.13,1,2
0,Corporate,Southeast Asia,Furniture,Tables,3427.1496,7,0.47,-452.8103999999999,586.57,1,1
2,Consumer,North,Technology,Phones,3441.69,6,0.1,38.06999999999999,585.25,1,2
2,Consumer,Oceania,Technology,Phones,2863.35,5,0.1,858.9,581.88,0,2
3,Consumer,South,Office Supplies,Binders,6354.95,5,0.0,3177.475,581.12,3,6
0,Consumer,Central,Technology,Copiers,1487.4,10,0.0,728.7,580.98,0,1
2,Home Office,North Asia,Technology,Copiers,3200.04,9,0.0,1183.95,576.71,3,2
1,Consumer,Central Asia,Furniture,Chairs,2300.9999999999995,5,0.0,91.95,573.27,0,0
3,Consumer,Central,Furniture,Chairs,5729.345999999999,14,0.1,63.54600000000016,572.95,1,4
2,Corporate,Africa,Technology,Copiers,5301.240000000001,14,0.0,2597.28,568.45,3,2
2,Consumer,Central,Office Supplies,Binders,5443.96,4,0.0,2504.2216,567.95,1,2
2,Consumer,East,Furniture,Chairs,4416.174,9,0.3,-630.8820000000001,566.65,3,5
3,Consumer,Central,Technology,Phones,3219.9,5,0.0,965.85,564.25,2,7
2,Consumer,Southeast Asia,Office Supplies,Appliances,2487.8088,6,0.17,-269.7912,562.14,0,3
1,Home Office,Africa,Office Supplies,Appliances,2266.44,4,0.0,113.28,556.45,3,0
1,Corporate,Oceania,Technology,Copiers,3068.361000000001,9,0.1,1124.9009999999998,555.77,1,0
0,Consumer,Central Asia,Furniture,Bookcases,3728.43,9,0.0,1192.86,553.31,3,3
0,Consumer,North Asia,Technology,Copiers,1581.48,6,0.0,0.0,550.74,1,2
2,Corporate,Central Asia,Technology,Phones,1916.73,3,0.0,498.3299999999999,548.4,0,3
0,Corporate,West,Furniture,Tables,1685.88,6,0.0,320.3172,548.08,0,1
1,Home Office,Central,Office Supplies,Appliances,2432.16,5,0.1,513.36,546.9,0,0
2,Corporate,Canada,Technology,Phones,3863.88,6,0.0,1159.02,546.56,0,2
0,Corporate,Southeast Asia,Furniture,Chairs,2465.82,7,0.25,197.19000000000003,546.49,1,2
1,Corporate,Oceania,Furniture,Tables,1847.52,2,0.0,738.96,545.89,1,0
0,Consumer,Central,Furniture,Bookcases,2899.8899999999994,7,0.0,927.78,541.59,1,2
2,Home Office,Oceania,Furniture,Chairs,2891.7,7,0.1,96.39000000000004,541.57,3,4
1,Consumer,Central,Technology,Machines,2016.846,9,0.15,-0.0540000000000304,540.77,0,0
2,Home Office,Central,Office Supplies,Appliances,3155.544,7,0.1,34.94400000000002,539.94,1,2
3,Consumer,Africa,Technology,Phones,3856.14,6,0.0,1465.2,533.99,2,6
3,Corporate,Oceania,Technology,Phones,3524.472,6,0.1,861.372,531.28,2,6
1,Consumer,Central,Technology,Phones,2167.2960000000003,4,0.15,790.4159999999999,531.09,1,0
0,Corporate,North,Technology,Phones,2556.000000000001,6,0.0,178.92,530.486,3,3
0,Consumer,Central,Technology,Copiers,1469.2499999999998,5,0.0,308.4,527.87,0,2
2,Consumer,Central,Technology,Phones,4448.832,8,0.15,1517.7120000000002,527.85,1,4
3,Home Office,West,Furniture,Tables,2036.86,7,0.0,366.6347999999999,524.76,2,7
0,Home Office,South,Furniture,Bookcases,2472.6600000000003,9,0.0,914.76,523.466,1,2
1,Consumer,Oceania,Office Supplies,Appliances,3739.176,8,0.1,747.816,522.79,1,0
1,Home Office,Central,Furniture,Chairs,2570.865,11,0.5,-2211.165,520.89,1,0
3,Corporate,East,Technology,Machines,9099.93,7,0.0,2365.9818,516.91,3,4
1,Corporate,Central,Technology,Phones,2875.7700000000004,9,0.5,-1783.0800000000004,516.63,1,0
2,Consumer,South,Furniture,Bookcases,1741.8000000000002,4,0.0,261.24,515.24,0,2
0,Consumer,Oceania,Technology,Copiers,1601.64,5,0.1,587.1899999999999,511.47,0,1
2,Consumer,North Asia,Office Supplies,Appliances,3670.8,7,0.0,367.08,510.72,1,2
3,Consumer,West,Technology,Machines,2973.32,7,0.2,334.4984999999996,510.18,1,4
2,Consumer,Central,Technology,Copiers,1900.95,5,0.0,589.2,506.89,1,4
0,Corporate,West,Office Supplies,Storage,1261.33,7,0.0,327.9458,506.49,0,2
2,Corporate,Central,Furniture,Chairs,4544.099999999999,11,0.1,1868.13,506.27,3,3
0,Consumer,North Asia,Furniture,Bookcases,1455.12,4,0.0,116.4,504.56,0,2
0,Consumer,Oceania,Technology,Copiers,1943.19,6,0.1,258.93,499.62,1,1
3,Consumer,East,Technology,Machines,6999.96,4,0.0,2239.9872,499.55,3,7
3,Consumer,Central,Office Supplies,Binders,9892.74,13,0.0,4946.37,498.7,3,4
2,Corporate,Oceania,Technology,Copiers,1695.87,5,0.1,-37.83000000000001,498.62,0,3
2,Corporate,Central,Technology,Copiers,1505.9789999999998,6,0.15,-265.761,498.52,0,3
0,Consumer,Southeast Asia,Technology,Phones,1954.17,3,0.0,312.66,498.38,0,1
0,Home Office,South,Furniture,Tables,2244.48,7,0.0,493.78559999999993,498.14,1,1
3,Consumer,East,Technology,Copiers,8399.975999999999,4,0.4,1119.996799999999,498.08,3,4
0,Consumer,East,Furniture,Chairs,1628.82,9,0.0,260.61120000000017,496.46,0,3
1,Consumer,South,Technology,Copiers,1213.18876,7,0.002,508.00876000000005,493.409,0,0
0,Corporate,Central Asia,Technology,Copiers,1590.6,5,0.0,572.5500000000001,493.2,0,2
0,Consumer,North Asia,Technology,Accessories,2330.6400000000003,9,0.0,1025.46,492.79,0,3
3,Home Office,Southeast Asia,Furniture,Bookcases,3278.5848,8,0.07,140.82479999999995,492.28,1,4
1,Home Office,Southeast Asia,Technology,Phones,3741.5238,7,0.17,946.6337999999996,491.91,1,0
0,Corporate,West,Furniture,Chairs,1603.1360000000002,4,0.2,100.19599999999996,489.6,0,3
3,Consumer,Southeast Asia,Furniture,Bookcases,3637.602,10,0.07,156.40199999999993,487.86,1,4
0,Home Office,North,Office Supplies,Appliances,2455.88,7,0.0,785.8199999999999,487.476,3,2
0,Consumer,North Asia,Technology,Machines,1024.6800000000003,8,0.5,-286.9200000000003,487.32,0,3
0,Consumer,Central,Furniture,Chairs,2807.84,8,0.0,673.8816000000002,487.15,1,2
2,Consumer,West,Technology,Machines,4476.8,4,0.2,503.6399999999997,485.47,1,2
0,Home Office,South,Technology,Accessories,2297.96,14,0.0,988.12,483.257,1,2
2,Corporate,South,Technology,Copiers,2671.41,7,0.0,534.24,483.04,1,2
0,Consumer,Africa,Technology,Phones,3834.000000000001,6,0.0,268.38,481.04,1,2
1,Home Office,West,Furniture,Chairs,2054.2720000000004,8,0.2,256.78399999999976,480.56,0,1
3,Corporate,Southeast Asia,Office Supplies,Appliances,3501.7368,8,0.17,210.8568,479.96,1,5
0,Home Office,Oceania,Technology,Phones,1725.4620000000004,3,0.1,747.6120000000001,479.94,1,2
0,Consumer,North Asia,Technology,Copiers,1583.7,5,0.0,174.14999999999998,479.67,0,3
2,Consumer,East,Furniture,Chairs,1931.04,9,0.1,321.8399999999999,477.15,0,2
2,Home Office,Oceania,Furniture,Bookcases,2760.3450000000003,7,0.1,-214.725,475.34,1,2
3,Corporate,Central Asia,Technology,Accessories,3078.7200000000007,12,0.0,523.0799999999999,474.44,1,4
0,Consumer,Central,Office Supplies,Appliances,1983.135,7,0.5,-1784.895,473.27,1,3
0,Consumer,Central,Furniture,Bookcases,1112.778,3,0.1,296.6580000000001,472.0,0,1
2,Consumer,Central,Technology,Copiers,3616.5,10,0.0,36.0,471.92,0,2
0,Corporate,Central,Technology,Machines,3059.982,2,0.1,679.9959999999996,471.22,3,3
3,Consumer,Oceania,Technology,Phones,2892.105,5,0.1,160.60500000000008,470.29,1,4
0,Consumer,Central,Technology,Phones,3263.4000000000005,5,0.0,848.4000000000001,469.29,1,3
2,Consumer,Central,Furniture,Bookcases,2396.2656,4,0.32,-317.15280000000007,469.16,0,2
3,Corporate,Central,Furniture,Tables,3117.088,13,0.2,38.94800000000005,466.703,1,4
3,Consumer,East,Technology,Machines,4899.93,7,0.0,2400.9657,466.33,3,4
0,Home Office,North,Office Supplies,Appliances,1888.7,5,0.0,887.6,465.918,1,2
0,Consumer,North Asia,Office Supplies,Appliances,3000.78,6,0.0,1080.18,465.63,1,2
0,Corporate,South,Office Supplies,Appliances,3801.63,7,0.0,1444.59,465.02,3,3
3,Consumer,EMEA,Technology,Phones,5211.12,8,0.0,1146.24,463.98,3,5
0,Corporate,North Asia,Furniture,Tables,1356.0300000000002,3,0.0,311.85,458.97,0,3
3,Consumer,Oceania,Office Supplies,Appliances,3569.643,7,0.1,674.163,458.54,1,4
1,Consumer,Central,Technology,Accessories,1287.45,5,0.0,244.61549999999988,457.14,0,0
3,Consumer,Southeast Asia,Furniture,Bookcases,2910.0815999999995,8,0.07,125.12159999999994,456.32,1,4
3,Home Office,Southeast Asia,Furniture,Chairs,3126.400199999999,9,0.27,-128.71979999999962,455.71,1,4
3,Consumer,North,Technology,Phones,5276.988,9,0.1,1758.8879999999997,454.81,3,7
3,Consumer,Southeast Asia,Technology,Phones,2645.376,5,0.17,-0.0240000000001145,452.6,1,4
0,Consumer,Oceania,Furniture,Bookcases,1637.0100000000002,5,0.1,-36.39000000000004,452.28,3,1
3,Consumer,East,Technology,Machines,4499.985000000001,5,0.7,-6599.978000000001,451.63,2,7
0,Consumer,Southeast Asia,Technology,Phones,2645.376,5,0.17,-0.0240000000001145,451.03,1,1
0,Home Office,East,Technology,Phones,2399.6,8,0.0,647.892,449.45,1,2
0,Corporate,North Asia,Furniture,Tables,3238.305,5,0.3,-740.2949999999998,449.18,1,2
0,Corporate,North,Furniture,Bookcases,2291.8140000000003,7,0.1,127.13399999999992,448.91,1,2
2,Consumer,North,Technology,Phones,2124.5000000000005,5,0.0,488.6,447.657,1,3
2,Home Office,EMEA,Furniture,Chairs,2757.78,6,0.0,744.48,446.33,1,4
1,Consumer,South,Technology,Accessories,1549.98,6,0.0,139.32,443.92,0,0
3,Consumer,South,Technology,Machines,2624.985,3,0.5,-944.9946000000004,443.69,1,5
2,Corporate,EMEA,Office Supplies,Appliances,3146.4,6,0.0,629.28,443.55,0,2
3,Corporate,Central,Technology,Machines,2456.619,11,0.15,664.719,442.49,2,6
0,Consumer,Central,Furniture,Tables,2228.6355,7,0.35,-754.4144999999997,440.25,0,3
2,Corporate,South,Technology,Copiers,2999.95,5,0.0,1439.976,439.69,1,2
0,Corporate,Central Asia,Office Supplies,Appliances,4001.04,8,0.0,1440.24,439.65,3,3
3,Home Office,Central,Technology,Phones,4876.875,9,0.15,745.875,439.41,3,5
1,Consumer,Oceania,Furniture,Tables,1788.8219999999997,6,0.3,204.28200000000004,439.03,0,0
3,Home Office,Central Asia,Office Supplies,Appliances,3622.29,7,0.0,1267.77,438.89,1,4
2,Consumer,Southeast Asia,Furniture,Tables,1242.585,5,0.47,-140.71500000000017,437.85,0,3
3,Corporate,North,Technology,Phones,4453.050000000001,7,0.0,1424.85,433.41,3,5
3,Consumer,Southeast Asia,Furniture,Tables,2673.36,8,0.0,1069.1999999999998,432.57,1,4
3,Consumer,Oceania,Furniture,Chairs,2046.195,5,0.1,591.0450000000001,432.15,1,4
2,Consumer,North,Furniture,Tables,5451.299999999999,6,0.0,2071.44,432.13,3,3
2,Home Office,West,Office Supplies,Binders,4535.976000000001,3,0.2,1644.2913,431.68,3,5
2,Consumer,Southeast Asia,Office Supplies,Appliances,1722.2832,4,0.17,539.4431999999999,430.04,0,2
0,Corporate,West,Technology,Phones,2575.944,7,0.2,257.5944000000003,429.66,3,3
1,Home Office,Central,Office Supplies,Appliances,1007.424,2,0.1,134.30399999999997,428.83,0,0
3,Corporate,East,Office Supplies,Storage,2934.33,7,0.0,792.2691000000002,428.8,1,5
2,Home Office,Oceania,Office Supplies,Appliances,4624.290000000001,9,0.1,1644.0300000000002,427.46,3,4
1,Corporate,Central,Office Supplies,Storage,1066.446,6,0.1,-11.934000000000026,427.24,0,0
1,Home Office,North Asia,Technology,Copiers,957.6,4,0.0,0.0,427.1,0,0
3,Home Office,Oceania,Office Supplies,Appliances,4864.32,10,0.1,162.12,426.09,3,4
3,Consumer,East,Furniture,Bookcases,2154.9,5,0.0,129.29399999999987,426.05,1,4
0,Consumer,Southeast Asia,Office Supplies,Appliances,1433.8394999999998,3,0.15,-84.37050000000002,424.81,1,1
0,Home Office,Africa,Office Supplies,Storage,2784.5999999999995,14,0.0,779.5199999999999,422.25,0,1
3,Consumer,South,Furniture,Bookcases,3063.27,7,0.0,1470.2100000000005,419.38,2,6
3,Home Office,East,Technology,Machines,3404.5,5,0.0,1668.205,419.06,1,4
0,Home Office,East,Office Supplies,Storage,1606.23,9,0.0,481.8689999999999,418.26,1,2
1,Consumer,Caribbean,Technology,Phones,2044.8000000000009,6,0.2,-332.2800000000002,417.99,1,0
1,Consumer,East,Technology,Phones,1214.85,3,0.0,352.3065,417.47,0,0
0,Corporate,North Asia,Technology,Copiers,1521.0,4,0.0,0.0,416.74,1,2
1,Consumer,Central,Office Supplies,Appliances,2443.905,5,0.1,760.3049999999998,416.33,1,0
1,Corporate,West,Furniture,Chairs,1348.7040000000002,6,0.2,-219.16440000000023,415.69,0,0
1,Corporate,EMEA,Technology,Machines,1141.8000000000002,10,0.0,570.9000000000001,415.01,0,0
2,Corporate,Central Asia,Office Supplies,Storage,1865.97,9,0.0,802.17,413.95,0,3
3,Corporate,North Asia,Technology,Phones,6998.64,11,0.0,2939.31,413.8,3,5
1,Consumer,South,Furniture,Bookcases,1091.25,3,0.0,119.97,411.64,0,0
0,Home Office,Central Asia,Furniture,Bookcases,1094.22,3,0.0,328.23,411.06,0,2
0,Corporate,Oceania,Furniture,Bookcases,1320.6240000000005,4,0.1,484.2240000000001,410.88,0,3
0,Consumer,Southeast Asia,Technology,Phones,2555.6400000000003,4,0.0,664.4399999999999,410.22,1,1
2,Home Office,EMEA,Furniture,Bookcases,3498.7200000000003,8,0.0,594.72,410.05,3,2
0,Consumer,East,Technology,Copiers,1439.976,4,0.4,191.9968,408.79,0,2
0,Consumer,North Asia,Technology,Copiers,2272.8600000000006,6,0.0,977.22,406.53,1,3
3,Consumer,North Asia,Technology,Phones,5211.12,8,0.0,833.76,404.97,3,5
3,Home Office,Central Asia,Technology,Phones,2582.16,4,0.0,361.44,404.08,1,4
3,Home Office,Central Asia,Technology,Phones,3194.55,5,0.0,830.55,403.97,1,4
2,Consumer,Oceania,Furniture,Chairs,1704.9959999999996,4,0.1,378.876,403.46,0,3
0,Corporate,Southeast Asia,Office Supplies,Appliances,1538.7209999999998,6,0.15,325.701,403.26,1,2
1,Home Office,North Asia,Furniture,Chairs,1381.3199999999997,3,0.0,593.9099999999999,403.15,0,0
2,Home Office,Central,Furniture,Bookcases,1181.547,3,0.1,498.8070000000001,401.25,0,2
0,Consumer,Central,Furniture,Chairs,1696.2479999999998,4,0.1,734.9280000000001,401.13,1,3
3,Home Office,West,Technology,Copiers,3359.952,6,0.2,1049.985,400.6,1,4
2,Consumer,East,Office Supplies,Supplies,4663.736000000001,7,0.2,-1049.3406,400.04,3,4
2,Home Office,Africa,Office Supplies,Appliances,1237.56,4,0.0,606.36,400.03,0,3
0,Consumer,Africa,Technology,Phones,1274.7,2,0.0,140.16,399.96,0,2
2,Consumer,South,Office Supplies,Appliances,3172.14,9,0.0,856.4399999999999,399.849,3,5
3,Consumer,East,Office Supplies,Binders,4305.552000000001,6,0.2,1453.1237999999996,398.64,3,7
2,Corporate,North,Office Supplies,Appliances,3979.29,7,0.0,1989.54,398.5,3,5
0,Consumer,Central,Furniture,Chairs,1586.6899999999998,7,0.0,412.5394,397.52,1,3
1,Home Office,West,Technology,Machines,2395.2000000000003,6,0.2,209.58000000000004,396.92,1,0
0,Consumer,East,Technology,Phones,1259.97,3,0.0,327.59220000000005,394.57,0,2
3,Consumer,EMEA,Furniture,Tables,2058.0,4,0.0,946.68,393.62,1,4
2,Consumer,Southeast Asia,Furniture,Bookcases,2539.8764999999994,7,0.07,709.9364999999999,393.58,1,4
0,Consumer,North,Furniture,Bookcases,2898.21,7,0.0,1420.02,393.46,1,3
0,Home Office,Central,Technology,Machines,1320.0075000000002,5,0.15,357.1575,390.2,0,2
2,Corporate,EMEA,Furniture,Tables,2171.16,8,0.7,-2750.28,390.09,1,2
3,Corporate,Oceania,Technology,Copiers,4448.223,13,0.1,444.4830000000002,386.38,3,6
2,Home Office,West,Furniture,Tables,1913.4,9,0.0,401.8139999999999,386.21,1,4
0,Consumer,South,Technology,Phones,2300.6159999999995,9,0.4,38.1960000000001,386.003,1,2
2,Home Office,Africa,Furniture,Bookcases,2615.94,6,0.0,1072.44,384.41,0,2
0,Consumer,Central Asia,Technology,Copiers,1066.68,3,0.0,394.65,383.68,0,1
2,Corporate,Central,Furniture,Chairs,3504.9,5,0.0,700.9800000000001,383.35,1,2
0,Corporate,Africa,Technology,Phones,2544.6000000000004,4,0.0,814.1999999999999,383.01,1,3
3,Corporate,Oceania,Furniture,Tables,3694.68,4,0.0,886.6800000000001,382.77,1,5
2,Home Office,North Asia,Furniture,Tables,2214.849,7,0.3,-221.5710000000001,382.1,0,2
2,Home Office,South,Furniture,Chairs,1236.4799999999998,4,0.0,111.28,381.219,0,3
0,Corporate,Central,Office Supplies,Appliances,1805.9,5,0.0,126.40000000000002,381.14,0,2
2,Corporate,Central,Technology,Machines,3059.982,3,0.4,-509.9970000000008,380.77,3,2
1,Home Office,West,Technology,Accessories,1687.8,4,0.0,742.6320000000001,379.56,1,0
3,Corporate,South,Office Supplies,Binders,2715.9300000000003,7,0.0,1276.4871,378.83,1,4
3,Consumer,Central,Office Supplies,Appliances,1810.3,5,0.0,54.29999999999999,378.258,1,4
0,Consumer,Central,Technology,Phones,2120.5,5,0.0,106.0,377.704,0,2
1,Consumer,North Asia,Technology,Phones,1275.0,2,0.0,140.22,377.58,0,0
2,Consumer,Central,Technology,Machines,1593.648,7,0.15,-225.16200000000003,377.03,0,3
0,Corporate,Central,Furniture,Bookcases,1114.236,3,0.1,383.706,376.88,0,2
3,Consumer,Central,Technology,Phones,2944.08,5,0.1,1112.13,376.58,1,5
0,Consumer,Southeast Asia,Office Supplies,Appliances,3309.2598,7,0.17,318.85979999999995,374.8,1,2
0,Consumer,South,Furniture,Chairs,897.4800000000001,9,0.0,322.92,374.376,0,2
0,Consumer,Central,Furniture,Bookcases,2056.05,5,0.0,390.6,372.5,1,3
3,Corporate,North,Technology,Copiers,2365.6592,10,0.002,18.8592,372.318,1,5
1,Consumer,Oceania,Technology,Copiers,1336.356,7,0.4,44.43600000000004,371.74,0,0
0,Consumer,North Asia,Technology,Copiers,3038.64,8,0.0,1245.84,371.51,1,2
2,Consumer,North,Office Supplies,Appliances,2698.65,9,0.0,890.46,369.98,1,3
3,Corporate,Africa,Technology,Copiers,3799.08,12,0.0,455.7600000000001,369.73,3,5
3,Consumer,Central Asia,Furniture,Chairs,2756.3399999999992,6,0.0,413.28,369.4,1,5
0,Home Office,South,Technology,Phones,983.88,8,0.1,-11.16000000000001,369.17,0,1
1,Home Office,Southeast Asia,Furniture,Chairs,1719.8069999999998,5,0.27,117.65700000000004,368.44,1,0
0,Consumer,Southeast Asia,Office Supplies,Appliances,1421.5410000000002,3,0.17,428.1209999999999,367.57,0,3
1,Consumer,Caribbean,Technology,Copiers,1053.6884,5,0.002,441.2884,367.549,1,0
0,Consumer,Central,Technology,Copiers,1440.84,8,0.5,-1268.0400000000002,367.35,0,1
2,Corporate,Oceania,Furniture,Chairs,2544.372,6,0.1,621.792,366.89,0,2
2,Consumer,East,Office Supplies,Appliances,2625.12,8,0.0,735.0336,366.72,3,4
1,Consumer,EMEA,Technology,Copiers,1554.48,8,0.0,341.76,366.58,1,0
0,Consumer,North,Technology,Phones,1278.0000000000005,3,0.0,89.46,365.902,1,1
3,Corporate,North,Technology,Phones,3474.0800000000004,8,0.0,625.28,365.652,1,4
2,Consumer,North,Technology,Phones,2550.0,6,0.0,357.0,365.2,3,2
0,Consumer,West,Office Supplies,Appliances,1101.48,4,0.0,429.57720000000006,364.76,0,3
2,Consumer,West,Office Supplies,Binders,1016.792,1,0.2,381.297,363.87,0,2
0,Corporate,West,Technology,Copiers,1199.976,3,0.2,374.9925,363.78,1,2
0,Consumer,EMEA,Technology,Phones,934.248,14,0.6,-1331.6519999999998,363.73,1,3
3,Consumer,East,Technology,Copiers,10499.97,3,0.0,5039.9856,363.19,3,5
2,Corporate,Africa,Technology,Phones,3908.88,6,0.0,1563.48,363.16,3,3
3,Home Office,North,Technology,Phones,2142.3,5,0.0,556.9,363.1,1,4
2,Consumer,Oceania,Office Supplies,Appliances,1900.584,6,0.4,-348.5160000000001,360.04,1,2
0,Consumer,Africa,Office Supplies,Appliances,1840.68,6,0.0,496.98,359.58,0,2
3,Consumer,North,Furniture,Bookcases,2624.04,6,0.0,446.04,359.28,1,4
